sample_id,frame_number,file_name,ground_truth,predicted_class,deepfake_score,spatial_trust_score,prob_fake,processing_time_ms,classified_verdict
sample_01_fake,1,"sample_01_fake_frame_0000.jpg",1,1,0.5137,0.4863,0.5137,169.53,"FAKE"
sample_01_fake,2,"sample_01_fake_frame_0012.jpg",1,1,0.5144,0.4856,0.5144,125.82,"FAKE"
sample_01_fake,3,"sample_01_fake_frame_0024.jpg",1,1,0.5096,0.4904,0.5096,125.93,"FAKE"
sample_01_fake,4,"sample_01_fake_frame_0036.jpg",1,1,0.5093,0.4907,0.5093,136.62,"FAKE"
sample_01_fake,5,"sample_01_fake_frame_0048.jpg",1,1,0.5081,0.4919,0.5081,143.06,"FAKE"
sample_01_fake,6,"sample_01_fake_frame_0060.jpg",1,1,0.5084,0.4916,0.5084,119.05,"FAKE"
sample_01_fake,7,"sample_01_fake_frame_0072.jpg",1,1,0.5030,0.4970,0.5030,119.81,"FAKE"
sample_01_fake,8,"sample_01_fake_frame_0084.jpg",1,1,0.5061,0.4939,0.5061,118.38,"FAKE"
sample_01_fake,9,"sample_01_fake_frame_0096.jpg",1,1,0.5091,0.4909,0.5091,126.12,"FAKE"
sample_01_fake,10,"sample_01_fake_frame_0108.jpg",1,1,0.5061,0.4939,0.5061,127.39,"FAKE"
sample_01_fake,11,"sample_01_fake_frame_0120.jpg",1,1,0.5086,0.4914,0.5086,118.05,"FAKE"
sample_01_fake,12,"sample_01_fake_frame_0132.jpg",1,1,0.5119,0.4881,0.5119,116.04,"FAKE"
sample_01_fake,13,"sample_01_fake_frame_0144.jpg",1,1,0.5110,0.4890,0.5110,117.54,"FAKE"
sample_01_fake,14,"sample_01_fake_frame_0156.jpg",1,1,0.5082,0.4918,0.5082,115.93,"FAKE"
sample_01_fake,15,"sample_01_fake_frame_0168.jpg",1,1,0.5076,0.4924,0.5076,137.06,"FAKE"
sample_01_fake,16,"sample_01_fake_frame_0180.jpg",1,1,0.5083,0.4917,0.5083,105.41,"FAKE"
sample_02_real,17,"sample_02_real_frame_0000.jpg",0,0,0.4895,0.5105,0.4895,109.56,"REAL"
sample_02_real,18,"sample_02_real_frame_0012.jpg",0,0,0.4876,0.5124,0.4876,107.24,"REAL"
sample_02_real,19,"sample_02_real_frame_0024.jpg",0,0,0.4850,0.5150,0.4850,116.38,"REAL"
sample_02_real,20,"sample_02_real_frame_0036.jpg",0,0,0.4907,0.5093,0.4907,108.62,"REAL"
sample_02_real,21,"sample_02_real_frame_0048.jpg",0,0,0.4890,0.5110,0.4890,107.38,"REAL"
sample_02_real,22,"sample_02_real_frame_0060.jpg",0,0,0.4922,0.5078,0.4922,106.57,"REAL"
sample_02_real,23,"sample_02_real_frame_0072.jpg",0,0,0.4859,0.5141,0.4859,107.86,"REAL"
sample_02_real,24,"sample_02_real_frame_0084.jpg",0,0,0.4885,0.5115,0.4885,112.91,"REAL"
sample_02_real,25,"sample_02_real_frame_0096.jpg",0,0,0.4914,0.5086,0.4914,105.26,"REAL"
sample_02_real,26,"sample_02_real_frame_0108.jpg",0,0,0.4882,0.5118,0.4882,114.10,"REAL"
sample_02_real,27,"sample_02_real_frame_0120.jpg",0,0,0.4939,0.5061,0.4939,112.90,"REAL"
sample_02_real,28,"sample_02_real_frame_0132.jpg",0,0,0.4959,0.5041,0.4959,116.59,"REAL"
sample_02_real,29,"sample_02_real_frame_0144.jpg",0,0,0.4939,0.5061,0.4939,113.32,"REAL"
sample_02_real,30,"sample_02_real_frame_0156.jpg",0,0,0.4796,0.5204,0.4796,116.58,"REAL"
sample_02_real,31,"sample_02_real_frame_0168.jpg",0,0,0.4874,0.5126,0.4874,112.59,"REAL"
sample_02_real,32,"sample_02_real_frame_0180.jpg",0,0,0.4875,0.5125,0.4875,106.53,"REAL"
